glims_ID,sensor,date,meanNIR,meanSensorZenith,clearPixelPercentage,totalPixelCount,clearPixelCount,SCAF
G043165E43066N,Terra,2000-03-05,0.30266787404284595,58.37328182930618,83.79629629629629,216,181,67.93339616713793
G043165E43066N,Terra,2000-03-08,0.5498639186494131,32.62340164009276,79.62962962962963,216,172,66.45610494450051
G043165E43066N,Terra,2000-03-15,0.49397959065066344,23.757254475703338,73.93364928909952,211,156,68.57070843460257
G043165E43066N,Terra,2000-03-30,0.49219022046204647,54.67942706335718,70.83333333333334,216,153,69.2461757719715
G043165E43066N,Terra,2000-04-17,0.48791359591539024,43.98897430277789,75.0,216,162,73.93658910764513
G043165E43066N,Terra,2000-05-04,0.6420640232821514,39.52016729676908,71.22641509433963,212,151,68.72188042277962
G043165E43066N,Terra,2000-05-22,0.47527486576370664,52.46017989881821,98.14814814814815,216,212,61.06968615201547
G043165E43066N,Terra,2000-06-07,0.5116183445190152,52.13806238927549,92.12962962962963,216,199,69.35363614592482
G043165E43066N,Terra,2000-06-13,0.43427836211473775,37.05467207276311,71.36363636363636,220,157,67.87458935611038
G043165E43066N,Terra,2000-06-15,0.3978383826100177,19.71556243493508,71.75925925925925,216,155,61.30745045731707
G043165E43066N,Terra,2000-06-22,0.5122262404130159,28.921492520957756,74.53703703703704,216,161,74.03235394021743
G043165E43066N,Terra,2000-06-23,0.46334488405076324,52.10275875294502,99.53703703703704,216,215,58.59699070659392
G043165E43066N,Terra,2000-06-26,0.39822967383829455,12.318977407630635,74.53703703703704,216,161,60.190232490130185
G043165E43066N,Terra,2000-07-04,0.27985754910208116,54.74596259565687,100.0,216,216,61.75717633274757
G043165E43066N,Terra,2000-07-05,0.3257637103725694,22.313938779610243,74.53703703703704,216,161,55.41134066587399
G043165E43066N,Terra,2000-07-09,0.35631691148397465,51.89029039504684,90.74074074074075,216,196,44.26078258782109
G043165E43066N,Terra,2000-07-11,0.2751278160817612,58.949800558873335,82.4074074074074,216,178,54.94250207125105
G043165E43066N,Terra,2000-07-13,0.24844876821729922,49.888291783098616,80.0925925925926,216,173,54.7141816415736
G043165E43066N,Terra,2000-07-14,0.30393058728345707,31.46087940386827,76.85185185185185,216,166,43.42315059746421
G043165E43066N,Terra,2000-07-16,0.29507497071040567,46.209875075338296,85.64814814814815,216,185,40.33936087295403
G043165E43066N,Terra,2000-07-17,0.24442487135152938,19.985679140869,89.35185185185185,216,193,53.990115933412646
G043165E43066N,Terra,2000-07-18,0.3286785861027192,56.85157909155664,91.66666666666666,216,198,19.71980713896882
G043165E43066N,Terra,2000-07-20,0.24192214123218328,54.705543075265254,77.77777777777779,216,168,24.610591441408282
G043165E43066N,Terra,2000-07-21,0.2870213951140722,22.581266049348876,89.81481481481481,216,194,38.4319262782402
G043165E43066N,Terra,2000-07-25,0.28951268033409244,52.243071612514385,86.11111111111111,216,186,24.86985662170187
G043165E43066N,Terra,2000-07-26,0.22175740589394732,9.096312530820224,75.0,216,162,44.30516157332947
G043165E43066N,Terra,2000-07-28,0.23683672375871606,12.932898288678235,78.70370370370371,216,170,38.40105212816836
G043165E43066N,Terra,2000-07-29,0.18161172267795697,49.4745486092086,89.81481481481481,216,194,47.91984823334127
G043165E43066N,Terra,2000-07-30,0.24653912188349622,32.37525669826309,94.9074074074074,216,205,35.6409018987342
G043165E43066N,Terra,2000-07-31,0.22155443454729942,36.55110715394585,81.01851851851852,216,175,38.13215787770949
G043165E43066N,Terra,2000-08-05,0.25507891330891347,54.35840435441745,89.40092165898618,217,194,48.085559485288556
G043165E43066N,Terra,2000-08-20,0.2550549825021872,1.011593702628166,84.25925925925925,216,182,31.85258042119881
G043165E43066N,Terra,2000-08-22,0.26922239489719846,22.12388398809196,82.4074074074074,216,178,31.02272217654535
G043165E43066N,Terra,2000-08-23,0.19868098320899338,44.428873303745895,88.42592592592592,216,191,52.86142206438664
G043165E43066N,Terra,2000-08-29,0.3188916815025814,11.549038956769483,81.48148148148148,216,176,55.87900277818398
G043165E43066N,Terra,2000-09-05,0.24419333277158675,0.4563934396288786,85.18518518518519,216,184,51.52329965314434
G043165E43066N,Terra,2000-09-11,0.2507455142914429,51.66675214143511,81.48148148148148,216,176,35.732876712328775
G043165E43066N,Terra,2000-09-12,0.18959687723590368,10.52982375394956,80.0925925925926,216,173,43.706053653371015
G043165E43066N,Terra,2000-09-16,0.2766790560586374,31.05314174565777,94.9074074074074,216,205,43.61648425284792
G043165E43066N,Terra,2000-09-19,0.20201999954024055,20.623926725476203,79.16666666666666,216,171,49.746654070225176
G043165E43066N,Terra,2000-09-25,0.25776293728256655,39.30979014848502,75.46296296296296,216,163,37.525530446782845
G043165E43066N,Terra,2000-09-28,0.5026482144675994,9.869968403557792,89.81481481481481,216,194,74.02983598450511
G043165E43066N,Terra,2000-10-03,0.33057330706781307,37.13115537048196,75.92592592592592,216,164,73.2853561147739
G043165E43066N,Terra,2000-10-15,0.2704825501613323,58.89912205723885,98.14814814814815,216,212,65.91348864816743
G043165E43066N,Terra,2000-10-24,0.21239654201660965,54.63753474695442,77.77777777777779,216,168,67.06892382103992
G043165E43066N,Terra,2000-10-31,0.14982742128158316,58.84284811167339,81.65137614678899,218,178,58.929426828349804
G043165E43066N,Terra,2000-11-29,0.1477084382046993,28.692100454952385,74.77064220183486,218,163,54.353436630909805
G043165E43066N,Terra,2000-12-19,0.5100168956136605,12.649326403098515,80.67632850241546,207,167,51.443400220133775
G043165E43066N,Terra,2001-01-01,0.2466631737969899,52.1864445703011,98.06763285024155,207,203,67.75788175441299
G043165E43066N,Terra,2001-03-10,0.387558241885715,49.534780194692495,78.24074074074075,216,169,70.99172715211117
G043165E43066N,Terra,2001-03-11,0.43673053340734785,32.237816740635175,73.14814814814815,216,158,73.9324991487913
G043165E43066N,Terra,2001-04-07,0.7136921720145227,52.396131718809826,75.70093457943925,214,162,66.2459239130435
G043165E43066N,Terra,2001-04-10,0.6068777528937509,12.697391923730216,78.03738317757009,214,167,72.66595993566315
G043165E43066N,Terra,2001-04-21,0.6133334595990062,39.587017880298845,75.92592592592592,216,164,68.06916215821032
G043165E43066N,Terra,2001-04-28,0.7399508527945418,31.603787189743002,100.0,210,210,75.00950431349618
G043165E43066N,Terra,2001-05-01,0.6047447170603267,19.98728508026958,95.83333333333334,216,207,78.10184124073653
G043165E43066N,Terra,2001-05-07,0.6325404436186273,39.699395101638274,79.16666666666666,216,171,74.68847784763861
G043165E43066N,Terra,2001-05-12,0.7245760482361914,12.316292988512043,85.71428571428571,196,168,71.97875963434312
G043165E43066N,Terra,2001-05-20,0.6092876406522648,54.857059156575936,91.20370370370371,216,197,75.54143037177064
G043165E43066N,Terra,2001-05-22,0.5843297640014093,44.195730096980995,89.35185185185185,216,193,74.50222670363839
G043165E43066N,Terra,2001-05-25,0.6985784785143982,51.965657406900014,84.9514563106796,206,175,65.17210118438372
G043165E43066N,Terra,2001-05-26,0.5658084779461025,9.85162730809271,84.65116279069768,215,182,79.45408685480336
G043165E43066N,Terra,2001-05-29,0.5461175023774527,49.99734699468522,84.72222222222221,216,183,76.1295727913729
G043165E43066N,Terra,2001-06-01,0.6135559555142693,46.23141179478741,71.29629629629629,216,154,69.46778936113346
G043165E43066N,Terra,2001-06-02,0.5123909292695663,20.131518090332936,97.68518518518519,216,211,76.11098113759326
G043165E43066N,Terra,2001-06-14,0.38073248677036536,49.82816210983873,91.20370370370371,216,197,73.40261734171669
G043165E43066N,Terra,2001-07-04,0.34144995133511064,19.468680985516794,86.11111111111111,216,186,62.93449334698059
G043165E43066N,Terra,2001-07-06,0.33547301805938184,1.7760610377513535,70.83333333333334,216,153,60.759540868548086
G043165E43066N,Terra,2001-07-12,0.39973157092911954,52.072774459846876,93.51851851851852,216,202,49.500411707463165
G043165E43066N,Terra,2001-07-15,0.3821455529084771,12.14491552974266,93.05555555555556,216,201,50.14561544650044
G043165E43066N,Terra,2001-07-16,0.30942316768030986,49.94007762131754,100.0,216,216,59.4091241409563
G043165E43066N,Terra,2001-07-17,0.365186936936937,31.502125910908937,87.03703703703704,216,188,44.69315269132188
G043165E43066N,Terra,2001-07-19,0.33675775020159454,46.169030007488125,81.48148148148148,216,176,45.61017692645128
G043165E43066N,Terra,2001-07-22,0.30231700659563643,1.0163653133161645,89.35185185185185,216,193,55.73570697470393
G043165E43066N,Terra,2001-07-23,0.25526916155026863,55.09854912059614,95.37037037037037,216,206,59.401593800263235
G043165E43066N,Terra,2001-07-24,0.31310904085453145,22.087129472357685,99.53703703703704,216,215,43.984500657990985
G043165E43066N,Terra,2001-07-25,0.24574430910781117,44.3689054481033,75.92592592592592,216,164,58.23314812107038
G043165E43066N,Terra,2001-07-26,0.3071148905082825,39.227909520939455,100.0,216,216,39.48662085100164
G043165E43066N,Terra,2001-07-27,0.26528151404891853,29.664970503899287,90.27777777777779,216,195,54.8736657406054
G043165E43066N,Terra,2001-08-01,0.2106336360659316,50.21153416251169,83.33333333333334,216,180,38.58196721311479
G043165E43066N,Terra,2001-08-02,0.2836890660759076,31.106471060946387,99.53703703703704,216,215,40.1367158941366
G043165E43066N,Terra,2001-08-04,0.3067747998733662,45.92617189925667,80.55555555555556,216,174,38.31692067213757
G043165E43066N,Terra,2001-08-05,0.21270503080914532,20.629713622997805,89.81481481481481,216,194,50.13152507676564
G043165E43066N,Terra,2001-08-06,0.2652606067247457,56.604406516537956,100.0,216,216,47.00190086269925
G043165E43066N,Terra,2001-08-08,0.2273745944121211,55.30069293006766,92.5925925925926,216,200,35.8312618803919
G043165E43066N,Terra,2001-08-11,0.2661123373975451,39.0384220042737,90.74074074074075,216,196,33.30106740751574
