glims_ID,sensor,date,meanNIR,meanSensorZenith,clearPixelPercentage,totalPixelCount,clearPixelCount,SCAF
G042999E43050N,Terra,2000-03-03,0.6308762699148242,53.22563363649178,80.1762114537445,227,182,75.96619096160377
G042999E43050N,Terra,2000-03-15,0.6976919383771245,24.862382261703292,82.72727272727273,220,182,70.00424279158369
G042999E43050N,Terra,2000-03-24,0.7030445560055104,32.97840383530736,83.70044052863436,227,190,71.478014630693
G042999E43050N,Terra,2000-03-26,0.7321899742986113,47.2050044063734,81.4977973568282,227,185,65.96592352194159
G042999E43050N,Terra,2000-03-31,0.6327906418248794,23.694173540609135,100.0,227,227,79.35225742433907
G042999E43050N,Terra,2000-04-02,0.6083974943468632,40.46356422729841,76.65198237885463,227,174,82.69286846275749
G042999E43050N,Terra,2000-04-16,0.7638818957761931,23.942109419063755,80.08849557522124,226,181,77.2518354780137
G042999E43050N,Terra,2000-04-17,0.6230281195753099,43.2390365905245,87.66519823788546,227,199,77.87096295196375
G042999E43050N,Terra,2000-04-19,0.5699635821224137,28.17041560913705,80.1762114537445,227,182,84.36558690933377
G042999E43050N,Terra,2000-04-25,0.6496808777429469,32.49482656514384,74.8898678414097,227,170,79.42762090230441
G042999E43050N,Terra,2000-05-04,0.7725109281406313,40.352165996897924,85.46255506607929,227,194,74.27616684757326
G042999E43050N,Terra,2000-05-20,0.6784774428185213,41.049093344613716,81.93832599118943,227,186,72.37752861847261
G042999E43050N,Terra,2000-05-21,0.5947612648514855,27.576740869994385,70.48458149779736,227,160,81.89178919544025
G042999E43050N,Terra,2000-05-22,0.5834073917146547,53.049845248166974,92.07048458149781,227,209,81.60148278646405
G042999E43050N,Terra,2000-06-12,0.555966250866251,32.755282184151135,73.77777777777777,225,166,75.37332434027483
G042999E43050N,Terra,2000-06-15,0.4738010982435824,18.54585342639593,90.7488986784141,227,206,84.75942118703084
G042999E43050N,Terra,2000-06-16,0.47770540317510213,57.475975923575916,89.42731277533039,227,203,79.09840260545909
G042999E43050N,Terra,2000-06-17,0.4533373102208773,2.90807652989284,73.12775330396477,227,166,79.62423701057018
G042999E43050N,Terra,2000-06-21,0.74328912388119,40.58239815973623,76.57657657657657,222,170,74.57128826321821
G042999E43050N,Terra,2000-06-25,0.5722447650990522,58.36291437535254,72.24669603524228,227,164,75.79144343504929
G042999E43050N,Terra,2000-06-26,0.507100410343572,13.546979871686416,72.24669603524228,227,164,77.46247169200905
G042999E43050N,Terra,2000-06-28,0.4745674366691248,32.59132402707278,89.42731277533039,227,203,75.4746013828136
G042999E43050N,Terra,2000-07-03,0.3922964459459463,2.506395762831363,77.97356828193833,227,177,74.81049809510372
G042999E43050N,Terra,2000-07-05,0.40139161796751194,23.42446964890016,70.48458149779736,227,160,71.52059125760809
G042999E43050N,Terra,2000-07-09,0.4779212501981924,52.49568140157933,88.54625550660793,227,201,67.2945612064816
G042999E43050N,Terra,2000-07-10,0.3814020364509442,8.55398530033842,79.73568281938326,227,181,76.62022797177491
G042999E43050N,Terra,2000-07-12,0.3556536867394136,13.277275274957688,78.41409691629956,227,178,69.78782524895598
G042999E43050N,Terra,2000-07-13,0.35484026056492235,49.25589326001143,80.1762114537445,227,182,77.55032878098126
G042999E43050N,Terra,2000-07-14,0.36678404124229885,32.44201018753526,70.48458149779736,227,160,69.06474762778086
G042999E43050N,Terra,2000-07-15,0.32326924260834355,36.420220318668925,85.90308370044053,227,195,76.0909898571111
G042999E43050N,Terra,2000-07-16,0.3682928098694342,46.92563469402142,87.66519823788546,227,199,65.50220492866406
G042999E43050N,Terra,2000-07-20,0.3056541258405381,54.169628983361456,74.44933920704845,227,169,61.84304016348345
G042999E43050N,Terra,2000-07-21,0.3200371536806242,23.697969366892302,78.8546255506608,227,179,56.97819790828641
G042999E43050N,Terra,2000-07-22,0.277720402051096,43.19731211223914,76.65198237885463,227,174,61.843427514055904
G042999E43050N,Terra,2000-07-27,0.2784568303063,58.264981140722085,88.10572687224669,227,200,34.141241340308206
